Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
17;1000017;2НДФЛ;Покупка недвижимости/ строительство;1;0.24;женский;0;0;высшее;специалист;>250;0;108;31;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000037;Поступление зарплаты на счет;Покупка автомобиля;1;0.44;женский;0;0;среднее-специальное;рабочий;>250;0;7;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000057;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;среднее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000077;Поступление зарплаты на счет;Покупка автомобиля;1;0.51;мужской;0;0;среднее-специальное;рабочий;>250;1;84;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000097;Поступление зарплаты на счет;Ремонт;0;0.36;женский;0;0;высшее;специалист;>250;0;57;27;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
17;1000117;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;1;0;высшее;менеджер среднего звена;< 50;0;91;31;Другое;ОАО;женат / замужем;1;1;1;1;1;0;1;0;0;0;0;0;2;2;2;0;0;72;97;0;0;0;0;0;0;0
17;1000137;2НДФЛ;Ремонт;0;0.22;мужской;2;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000157;Поступление зарплаты на счет;Ремонт;1;0.26;мужской;0;0;высшее;специалист;>250;0;19;26;Другое;ООО;женат / замужем;0;0;0;0;0;0.3333333333;0;0;0;0;0;0;2;10;2;0;0;12;35;1;0;0;0;0;0;0
17;1000177;Поступление зарплаты на счет;Ремонт;1;0.55;женский;0;0;высшее;специалист;>250;0;81;51;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000197;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;*n.a.*;специалист;>250;0;23;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000217;Свободная форма с печатью работодателя;Ремонт;1;0.2;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;67;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000237;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;0;0;высшее;рабочий;>250;0;52;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
